DARAGA PUBLIC MARKET,,,,,
"August 14, 2026",,,,,
6:00 AM - 8:00 AM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
6:00-6:15,RAWIS B,Y,1,P,
,RAWIS B,Y,2,P,22
,POLANGUI,N,,P,
,TAHAO ROAD,Y,2,P,
,TAHAO ROAD,N,,F,
,ALTERNATE,Y,1,P,
,TAHAO ROAD,Y,2,P,
,ALTERNATE,Y,2,P,
,GUINOBATAN,N,,F,
,DIRETSO,Y,,P,
,TAHAO ROAD,Y,1,P,
,OAS,N,3,F,
,LIGAO,N,,P,
,DIRETSO,Y,2,P,
,TAHAO ROAD,Y,3,P,
,RAWIS B,Y,2,E,
,RAWIS B,Y,2,P,
,RAWIS A,N,,F,
,TAHAO ROAD,Y,1,P,
6:15-6:30,ALTERNATE,Y,1,P,18
,CAMALIG,N,,P,
,TAHAO ROAD,Y,3,P,
,RAWIS B,Y,1,E,
,RAWIS A,N,,F,
,TAHAO ROAD,N,,P,
,DIRETSO,Y,3,P,
,L1,Y,1,P,
,RAWIS B,Y,4,F,
,POLANGUI,N,,P,
,OAS,N,,P,
,TAHAO ROAD,Y,5,P,
,TAHAO ROAD,Y,2,P,
,L2,N,,F,
,RAWIS A,N,,F,
,DIRETSO,Y,2,P,
,TAHAO ROAD,Y,5,E,
,POLANGUI,N,,F,
6:30-6:45,TAHAO ROAD,Y,1,P,12
,TAHAO ROAD,Y,2,P,
,RAWIS A,N,,P,
,OAS,N,,F,
,RAWIS B,Y,2,E,
,CAMALIG,N,,P,
,ALTERNATE,Y,1,P,
,POLANGUI,N,,F,
,TAHAO ROAD,Y,2,P,
,RAWIS B,Y,3,P,
,RAWIS B,N,,E,
,LIGAO,N,,P,
,TAHAO ROAD,Y,4,E,
,RAWIS A,Y,1,E,
,L2,N,,P,
,OAS,N,,F,
6:45-7:00,DIRETSO,Y,1,P,24
,TAHAO ROAD,N,,P,
,TAHAO ROAD,Y,2,P,
,POLANGUI,N,,P,
,RAWIS B,Y,1,F,
,DIRETSO,Y,1,P,
,L2,Y,,E,
,RAWIS A,Y,1,E,
,ALTERNATE,N,,P,
,DIRETSO,Y,3,E,
,ALTERNATE,Y,2,P,
,OAS,N,,F,
,TAHAO,Y,1,F,
,CAMALIG,Y,,P,
,ALTERNATE,Y,3,P,
,DIRETSO,N,,P,
,RAWIS A,Y,1,E,
,TAHAO ROAD,Y,7,P,
,ALTERNATE,N,,F,
,RAWIS A,Y,2,P,
7:00-7:15,RAWIS A,Y,2,P,27
