EMBARCDERO,,,,,
"August 14, 2026",,,,,
6:00 AM - 8:00 AM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
6:00-6:15,CAMALIG,Y,2,P,
,POLANGUI,Y,1,P,
,RAWIS A,Y,,P,
,CAMALIG,Y,5,P,
,CAMALIG,N,,E,
,RAWIS A,N,,P,
,RAWIS B,Y,,P,
,RAWIS A,Y,,P,
,RAWIS A,Y,,P,
,RAWIS B,N,,E,
,POLANGUI,N,,P,
,CAMALIG,Y,8,P,
,RAWIS A,Y,,P,
,RAWIS  A,N,,P,
,TAHAO ROAD,N,,P,
6:15-6:30,CAMALIG,Y,6,E,1
,RAWIS A,N,,P,
,RAWIS B,Y,,P,
,TAHAO ROAD,N,,P,
,TAHAO ROAD,N,,P,
,RAWIS  A,Y,,F,
,TAHAO ROAD,Y,,P,
,CAMALIG,N,,F,
,RAWIS  A,Y,,P,
,POLANGUI,N,,P,
,CAMALIG,Y,1,E,
,GUINOBATAN,N,,P,
,POLANGUI,Y,,P,
6:30-6:45,RAWIS B,Y,,P,3
,GUINOBATAN,N,,P,
,RAWIS  A,Y,,P,
,RAWIS   A,Y,,P,
,CAMALIG,N,,P,
,POLANGUI,Y,,E,
,MALABOG,Y,,P,
,CAMALIG,Y,6,E,
,CAMALIG,N,,P,
,OAS,Y,1,P,
,TAHAO ROAD,N,,P,
,RAWIS  A,Y,,F,
,LIGAO,Y,,P,
,CAMALIG,Y,3,E,
,RAWIS   A,N,,P,
,POLANGUI,Y,,P,
,GUINOBATAN,Y,,P,
6:45-7:00,GUINOBATAN,Y,,E,1
,CAMALIG,Y,6,P,
,CAMALIG,Y,3,E,
,RAWIS  A,N,,P,
,RAWIS  A,Y,,F,
,TAHAO ROAD,N,,P,
,CAMALIG,Y,10,E,
,POLANGUI,Y,,P,
,LIGAO,N,,P,
,RAWIS A,Y,,P,
,RAWIS   A,Y,,P,
,POLANGUI,Y,1,P,
,RAWIS B,Y,,P,
,POLANGUI,N,,P,
,RAWIS  B,Y,,P,
,LIGAO,N,,P,
,POLANGUI,Y,,P,
,CAMALIG,Y,,P,
7:00-7:15,CAMALIG,Y,1,E,1
,CAMALIG,N,,P,
,POLANGUI,N,,F,
,POLANGUI,N,,P,
,POLANGUI,N,,P,
,RAWIS  A,Y,2,P,
,RAWIS A,Y,,P,
,CAMALIG,Y,9,P,
,GUINOBATAN,N,,E,
,RAWIS  B,N,,F,
,POLANGUI,Y,,P,
,GUINOBATAN,N,,E,
,POLANGUI,N,13,P,
,RAWIS    A,Y,,P,
,RAWIS A,N,,P,
,POLANGUI,Y,,P,
,CAMALIG,Y,13,E,
,GUINOBATAN,N,,P,
,RAWIS  A,N,,P,
,POLANGUI,N,,P,
,RAWIS B,Y,,P,
,CAMALIG,Y,,E,
,RAWIS B,N,,E,
7:15-7:30,RAWIS A,Y,,P,2
,GUINOBATAN,N,,E,
,TAHAO ROAD,N,,P,
,RAWIS A,N,,P,
,POLANGUI,Y,2,P,
,MALABOG,N,,E,
,CAMALIG,Y,3,P,
,CAMALIG,Y,,E,
,RAWIS  A,N,,P,
,GUINOBATAN,N,,P,
,CAMALIG,Y,6,E,
,POLANGUI,Y,3,P,
,RAWIS B,Y,,P,
,RAWIS   B,N,,E,
,POLANGUI,Y,9,P,
,CAMALIG,Y,10,E,
,RAWIS  A,Y,,P,
,TAHAO ROAD,N,,E,
,RAWIS B,Y,,P,
,RAWIS   A,Y,,P,
,CAMALIG,Y,,E,
,LIGAO,N,,P,
,RAWIS A,N,,P,
7:30-7:45,CAMALIG,Y,,E,3
,CAMALIG,N,,P,
,POLANGUI,Y,,P,
,POLANGUI,Y,,P,
,POLANGUI,Y,,P,
,RAWIS A,N,,P,
,CAMALIG,Y,,E,
,CAMALIG,Y,5,E,
,RAWIS B,Y,,P,
,RAWIS A,Y,1,P,
,POLANGUI,Y,3,E,
,GUINOBATAN,N,,P,
,RAWIS B,Y,,P,
,CAMALIG,Y,2,E,
,POLANGUI,Y,,E,
,GUINOBATAN,N,,P,
,LIGAO,Y,,P,
,CAMALIG,N,,E,
7:45-8:00,CAMALIG,Y,3,E,2
,GUINOBATAN,N,,P,
,RAWIS A,N,,P,
,RAWIS A,Y,,F,
,RAWIS B,Y,,P,
,RAWIS A,N,,P,
,POLANGUI,Y,,P,
,POLANGUI,N,,P,
,RAWIS B,Y,,P,
,OAS,Y,1,P,
,POLANGUI,Y,,P,
,GUINOBATAN,N,,F,
,CAMALIG,Y,10,E,
,CAMALIG,Y,,P,
,RAWIS A,Y,1,P,
,POLANGUI,Y,1,P,
,CAMALIG,Y,2,E,
,RAWIS A ,N,,P,
,RAWIS A,Y,,P,
,RAWIS B,Y,,P,
,POLANGUI,Y,,P,
,,,,,
EMBARCDERO,,,,,
"August 14, 2026",,,,,
11:00 AM - 1:00 PM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
11:00-11:15,RAWIS A,Y,,P,1
,CAMALIG,Y,6,P,
,CAMALIG,N,,F,
,POLANGUI,Y,2,P,
,POLANGUI,Y,,P,
,RAWIS B,N,,E,
,OAS,Y,,P,
,CAMALIG,Y,4,P,
,POLANGUI,Y,5,P,
,CAMALIG,Y,5,E,
,RAWIS A,Y,,P,
,POLANGUI,Y,4,P,
,GUINOBATAN,N,,P,
,CAMALIG,Y,5,E,
,RAWIS A,Y,,F,
,TAHAO,N,,P,
,RAWIS B,Y,,P,
,LIGAO,Y,4,P,
,POLANGUI,Y,,P,
,MALABOG,N,,F,
,OAS,Y,2,P,
,CAMALIG,Y,8,P,
,CAMALIG,Y,2,E,
,OAS,Y,1,P,
,RAWIS A,Y,,P,
11:15-11:30,LIGAO,Y,,P,5
,RAWIS B ,N,,P,
,CAMALIG,Y,7,P,
,OAS,Y,1,P,
,RAWIS B,Y,1,P,
,CAMALIG,Y,2,P,
,CAMALIG,Y,4,E,
,MALABOG,N,,P,
,POLANGUI,Y,4,P,
,TAHAO ROAD,Y,,P,
,POLANGUI,Y,,P,
,POLANGUI,N,,P,
,RAWIS A,Y,,P,
,CAMALIG,Y,2,P,
,POLANGUI,Y,2,P,
,POLANGUI,Y,2,P,
,GUINOBATAN,N,,P,
,CAMALIG,Y,,E,
,RAWIS A,Y,,P,
,RAWIS B,Y,,P,
,POLANGUI,Y,1,E,
,CAMALIG,Y,,E,
,RAWIS B,Y,1,P,
,RAWIS A,Y,,P,
,TAHAO ROAD,N,,P,
,RAWIS B,Y,,F,
,RAWIS A,N,,P,
11:30-11:45,RAWIS A,Y,,F,2
,CAMALIG,N,,P,
,LIGAO,Y,,P,
,RAWIS A,Y,,F,
,CAMALIG,Y,,P,
,POLANGUI,Y,,P,
,POLANGUI,Y,2,P,
,POLANGUI,Y,,P,
,RAWIS A,Y,,P,
,POLANGUI,Y,,P,
,POLANGUI,Y,,E,
,TAHAO ROAD,N,,P,
,MALABOG,N,,P,
,CAMALIG,Y,5,P,
,GUINOBATAN,Y,,P,
,GUINOBATAN,N,,F,
,RAWIS B,Y,2,P,
,RAWIS B,N,,P,
,RAWIS A,Y,,P,
,CAMALIG,Y,4,P,
,POLANGUI,Y,,P,
,LIGAO,Y,1,P,
11:45-12:00,CAMALIG,Y,5,P,9
,RAWIS B,Y,,P,
,CAMALIG,Y,,P,
,RAWIS A,Y,2,F,
,GUINOBATAN,N,,P,
,TAHAO ROAD,N,,F,
,POLANGUI,Y,3,E,
,RAWIS A,Y,,F,
,CAMALIG,Y,3,P,
,POLANGUI,Y,,P,
,RAWIS A,Y,2,P,
,RAWIS A,Y,,P,
,LIGAO,N,,P,
,OAS,N,,F,
,POLANGUI,Y,,P,
,OAS,Y,,E,
,LIGAO,Y,2,P,
,RAWIS B,N,,E,
,RAWIS A ,Y,,P,
,RAWIS A,Y,,P,
,POLANGUI,Y,2,P,
,CAMALIG,Y,4,P,
,RAWIS A,Y,,P,
,MALABOG,N,,P,
,GUINOBATAN,Y,,P,
,POLANGUI,Y,4,P,
,LIGAO,N,,P,
,TAHAO ROAD,Y,,F,
,GUINOBATAN,Y,2,P,
,CAMALIG,Y,,P,
,CAMALIG,Y,,E,
,POLANGUI,Y,,P,
,LIGAO,Y,,P,
,POLANGUI,Y,,P,
12:00-12:15,CAMALIG,N,,E,12
,TAHAO ROAD,Y,,F,
,LIGAO,Y,,P,
,RAWIS A,Y,,P,
,POLANGUI,Y,6,P,
,POLANGUI,Y,5,P,
,POLANGUI,Y,4,E,
,OAS,Y,3,P,
,RAWIS A,Y,5,P,
,RAWIS B,Y,,P,
,POLANGUI,Y,,E,
,MALABOG,N,,P,
,GUINOBATAN,Y,2,E,
,POLANGUI,Y,,E,
,POLANGUI,Y,,P,
,POLANGUI,Y,4,P,
,CAMALIG,Y,,P,
,RAWIS A,N,,P,
,CAMALIG,Y,3,P,
,CAMALIG,Y,2,E,
,RAWIS A,Y,,E,
,POLANGUI,N,,P,
,CAMALIG,N,,P,
,CAMALIG,N,,F,
,RAWIS A,Y,,P,
,LIGAO,Y,,P,
,POLANGUI,Y,4,P,
,RAWIS A,Y,,P,
,RAWIS A,Y,,P,
,POLANGUI,Y,,P,
,RAWIS A,Y,,P,
12:15-12:30,CAMALIG,N,,E,8
,RAWIS A,N,,P,
,OAS,Y,,P,
,CAMALIG,Y,4,P,
,CAMALIG,Y,,P,
,LIGAO,Y,3,P,
,CAMALIG,Y,2,P,
,POLANGUI,Y,5,P,
,CAMALIG,Y,2,E,
,POLANGUI,Y,3,F,
,TAHAO ROAD,Y,2,E,
,GUINOBATAN,Y,,P,
,RAWIS B,N,,F,
,OAS,N,,F,
,GUINOBATAN,N,,F,
,POLANGUI,Y,3,P,
,OAS,Y,,E,
,RAWIS A,Y,,E,
,GUINOBATAN,Y,,P,
,OAS,Y,,P,
,CAMALIG,Y,,F,
,POLANGUI,Y,,P,
,CAMALIG,Y,,P,
,CAMALIG,Y,,E,
,GUINOBATAN,Y,,P,
,OAS,Y,,E,
12:30-12:45,POLANGUI,Y,,P,4
,RAWIS A,N,,P,
,RAWIS B,Y,3,P,
,CAMALIG,Y,2,F,
,POLANGUI,Y,4,E,
,MALABOG,Y,,E,
,RAWIS A,Y,2,P,
,CAMALIG,Y,3,P,
,MALABOG,Y,,P,
,MALABOG,Y,4,P,
,RAWIS A,Y,,P,
,OAS,Y,,F,
,POLANGUI,N,,E,
,CAMALIG,Y,,F,
,RAWIS B,N,,P,
,GUINOBATAN,Y,,P,
,GUINOBATAN,Y,,F,
,CAMALIG,N,,P,
,OAS,Y,,F,
,GUINOBATAN,Y,,F,
,TAHAO ROAD,N,,F,
,LIGAO,Y,,P,
12:45-1:00,CAMALIG,Y,4,P,2
,GUINOBATAN,Y,2,P,
,CAMALIG,Y,3,P,
,POLANGUI,N,,P,
,RAWIS A,Y,2,P,
,TAHAO ROAD,Y,4,E,
,RAWIS B,Y,,P,
,RAWIS A,N,,P,
,POLANGUI,Y,,P,
,RAWIS A,Y,,E,
,MALABOG,N,,P,
,POLANGUI,Y,,P,
,RAWIS A,Y,,P,
,OAS,Y,,P,
,LIGAO,Y,,P,
,RAWIS B,Y,,P,
,RAWIS B,Y,,P,
,CAMALIG,N,,F,
,CAMALIG,Y,,F,
,,,,,
EMBARCDERO,,,,,
"August 14, 2026",,,,,
4:00 PM - 6:00 PM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
4:00–4:15,CAMALIG,Y,4,P,8
,POLANGUI,Y,3,P,
,RAWIS A,Y,1,P,
,CAMALIG,N,—,F,
,GUINOBATAN,Y,2,P,
,POLANGUI,Y,5,E,
,RAWIS B,Y,2,P,
,TAHAO ROAD,N,—,P,
,OAS,Y,1,P,
,CAMALIG,Y,6,P,
,POLANGUI,N,—,F,
,LIGAO,Y,2,P,
,RAWIS A,Y,3,P,
,MALABOG,N,—,F,
4:15–4:30,CAMALIG,Y,8,P,14
,POLANGUI,Y,6,P,
,RAWIS A,Y,2,P,
,CAMALIG,Y,5,E,
,RAWIS B,N,—,F,
,GUINOBATAN,Y,4,P,
,POLANGUI,N,—,F,
,OAS,Y,3,P,
,CAMALIG,Y,7,P,
,LIGAO,Y,3,P,
,RAWIS A,N,—,F,
,POLANGUI,Y,4,P,
,TAHAO ROAD,Y,2,P,
,CAMALIG,N,—,F,
4:30–4:45,CAMALIG,Y,10,E,22
,POLANGUI,Y,8,P,
,RAWIS A,Y,4,P,
,GUINOBATAN,N,—,F,
,CAMALIG,Y,9,P,
,POLANGUI,Y,6,P,
,RAWIS B,Y,3,P,
,OAS,Y,2,P,
,LIGAO,N,—,F,
,CAMALIG,Y,12,E,
,POLANGUI,N,—,F,
,RAWIS A,Y,5,F,
,TAHAO ROAD,N,—,F,
,MALABOG,Y,1,P,
4:45–5:00,CAMALIG,Y,14,E,29
,POLANGUI,Y,9,P,
,RAWIS A,Y,6,P,
,GUINOBATAN,Y,5,P,
,CAMALIG,N,—,F,
,POLANGUI,Y,10,E,
,RAWIS B,Y,4,P,
,OAS,N,—,F,
,CAMALIG,Y,11,P,
,LIGAO,Y,4,P,
,POLANGUI,N,—,F,
,RAWIS A,Y,3,F,
,TAHAO ROAD,Y,2,P,
5:00–5:15,CAMALIG,Y,16,E,35
,POLANGUI,Y,12,P,
,RAWIS A,N,—,F,
,CAMALIG,Y,10,P,
,GUINOBATAN,Y,6,P,
,POLANGUI,N,—,F,
,RAWIS B,Y,5,P,
,OAS,Y,4,P,
,CAMALIG,N,—,F,
,LIGAO,Y,3,P,
,POLANGUI,Y,8,P,
,RAWIS A,Y,4,F,
,MALABOG,N,—,F,
5:15–5:30,CAMALIG,Y,12,P,31
,POLANGUI,Y,10,P,
,RAWIS A,Y,5,P,
,GUINOBATAN,N,—,F,
,CAMALIG,Y,8,P,
,POLANGUI,Y,7,P,
,RAWIS B,Y,3,P,
,OAS,Y,2,P,
,CAMALIG,N,—,F,
,LIGAO,Y,4,P,
