EMBARCDERO,,,,,
"August 17, 2026",,,,,
6:00 AM - 8:00 AM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
6:00 – 6:15 AM,POLANGUI,Y,2,P,2
,RAWIS A,Y,0,P,
,CAMALIG,Y,6,P,
,CAMALIG,N,0,P,
,RAWIS B,Y,1,P,
,OAS,Y,3,P,
,RAWIS A,N,0,E,
,CAMALIG,Y,4,P,
,GUINOBATAN,N,0,P,
,POLANGUI,Y,3,P,
,CAMALIG,Y,5,P,
,POLANGUI,Y,2,P,
,RAWIS A,Y,1,P,
6:15 – 6:30 AM,CAMALIG,Y,5,P,2
,RAWIS A,Y,1,P,
,POLANGUI,N,0,P,
,RAWIS B,Y,0,P,
,TAHAO ROAD,Y,2,E,
,CAMALIG,Y,7,P,
,LIGAO,N,0,F,
,RAWIS A,Y,0,P,
,POLANGUI,Y,2,P,
,CAMALIG,Y,1,E,
,GUINOBATAN,Y,3,P,
,CAMALIG,Y,6,P,
,POLANGUI,Y,2,P,
,RAWIS A,Y,0,P,
6:30 – 6:45 AM,CAMALIG,Y,8,P,4
,RAWIS A,Y,2,P,
,GUINOBATAN,Y,3,E,
,POLANGUI,N,0,P,
,RAWIS B,Y,1,P,
,CAMALIG,Y,5,E,
,TAHAO ROAD,N,0,P,
,OAS,Y,2,P,
,RAWIS A,Y,0,F,
,LIGAO,Y,1,P,
,POLANGUI,Y,4,P,
,CAMALIG,Y,6,P,
,CAMALIG,Y,7,E,
,POLANGUI,Y,3,P,
,RAWIS A,Y,1,P,
6:45 – 7:00 AM,CAMALIG,Y,12,E,3
,POLANGUI,Y,3,P,
,RAWIS A,Y,2,P,
,GUINOBATAN,N,0,E,
,CAMALIG,Y,8,P,
,RAWIS B,Y,1,P,
,TAHAO ROAD,N,0,P,
,POLANGUI,Y,5,P,
,RAWIS A,Y,0,F,
,CAMALIG,Y,4,E,
,CAMALIG,Y,9,P,
,POLANGUI,Y,4,P,
,RAWIS A,Y,1,P,
7:00 – 7:15 AM,CAMALIG,Y,11,P,3
,POLANGUI,Y,6,P,
,RAWIS A,Y,3,P,
,GUINOBATAN,Y,2,E,
,CAMALIG,Y,10,E,
,POLANGUI,N,0,F,
,RAWIS B,Y,1,P,
