PACIFIC MALL,,,,,
"August 18, 2026",,,,,
6:00 AM - 8:00 AM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
6:00 – 6:15 AM,RAWIS A,Y,3,P,22
,TAHAO ROAD,Y,4,E,
,RAWIS B,Y,4,P,
,TAHAO ROAD,N,0,F,
,DIRETSO,Y,2,P,
,ALTERNATE,Y,2,P,
,TAHAO ROAD,Y,3,P,
,L1,Y,1,P,
,POLANGUI,N,0,P,
,OAS,N,0,F,
,RAWIS B,Y,2,P,
,DIRETSO,Y,2,P,
6:15 – 6:30 AM,TAHAO ROAD,Y,5,P,19
,RAWIS B,Y,5,E,
,TAHAO ROAD,Y,4,P,
,RAWIS A,Y,3,P,
,DIRETSO,Y,3,P,
,ALTERNATE,Y,2,P,
,TAHAO ROAD,N,0,F,
,L2,N,0,F,
,CAMALIG,N,0,P,
,RAWIS B,Y,3,F,
,DIRETSO,Y,2,P,
6:30 – 6:45 AM,TAHAO ROAD,Y,4,E,15
,RAWIS A,Y,4,E,
,RAWIS B,Y,3,P,
,TAHAO ROAD,Y,3,E,
,DIRETSO,Y,2,P,
,ALTERNATE,Y,2,P,
,TAHAO ROAD,N,0,F,
,POLANGUI,N,0,F,
,OAS,N,0,F,
,RAWIS B,Y,2,P,
,DIRETSO,Y,1,P,
6:45 – 7:00 AM,TAHAO ROAD,Y,6,P,27
,RAWIS B,Y,6,P,
,TAHAO ROAD,Y,5,P,
,RAWIS A,Y,4,P,
,DIRETSO,Y,3,P,
,ALTERNATE,Y,3,P,
,TAHAO ROAD,N,0,F,
,POLANGUI,Y,1,F,
,L2,N,0,E,
,RAWIS B,Y,3,E,
,DIRETSO,Y,2,P,
7:00 – 7:15 AM,TAHAO ROAD,Y,7,P,31
,RAWIS A,Y,7,P,
,RAWIS B,Y,6,P,
,TAHAO ROAD,Y,5,P,
,DIRETSO,Y,4,P,
,ALTERNATE,Y,3,P,
,TAHAO ROAD,N,0,F,
,L1,Y,1,E,
,CAMALIG,N,0,P,
,OAS,N,0,F,
,RAWIS B,Y,3,E,
,DIRETSO,Y,2,P,
7:15 – 7:30 AM,TAHAO ROAD,Y,5,P,23
,RAWIS B,Y,5,P,
,TAHAO ROAD,Y,4,P,
,DIRETSO,Y,3,E,
,RAWIS A,Y,3,P,
,ALTERNATE,Y,2,P,
,TAHAO ROAD,N,0,F,
,GUINOBATAN,Y,1,P,
,RAWIS B,Y,2,E,
,DIRETSO,Y,2,P,
7:30 – 7:45 AM,TAHAO ROAD,Y,4,P,17
,RAWIS A,Y,3,P,
,RAWIS B,Y,3,P,
,TAHAO ROAD,Y,3,E,
,DIRETSO,Y,2,P,
,ALTERNATE,Y,1,P,
,TAHAO ROAD,N,0,F,
,RAWIS B,Y,2,P,
7:45 – 8:00 AM,TAHAO ROAD,Y,3,P,12
,RAWIS B,Y,2,E,
,TAHAO ROAD,N,0,F,
,RAWIS A,Y,2,P,
,DIRETSO,Y,1,P,
,ALTERNATE,Y,1,P,
,RAWIS B,Y,1,E,
,,,,,
PACIFIC MALL,,,,,
"August 18, 2026",,,,,
11:00 AM - 1:00 PM,,,,,
Time,Jeepney Route,Stopped,Passengers,Fullness,Waiting
11:00 – 11:15 AM,TAHAO ROAD,Y,4,E,25
,TAHAO ROAD,N,0,F,
,RAWIS A,Y,3,F,
,RAWIS B,Y,3,P,
,DIRETSO,Y,2,F,
,TAHAO ROAD,Y,3,P,
,ALTERNATE,Y,3,P,
,LIGAO,Y,1,E,
,CAMALIG,Y,1,P,
,RAWIS B,Y,2,F,
11:15 – 11:30 AM,TAHAO ROAD,Y,5,F,30
,RAWIS A,Y,5,F,
,TAHAO ROAD,Y,4,P,
,DIRETSO,Y,3,E,
,ALTERNATE,Y,3,F,
,RAWIS B,Y,2,P,
,TAHAO ROAD,N,0,F,
,POLANGUI,Y,1,P,
,L2,Y,1,P,
,DIRETSO,Y,2,F,
11:30 – 11:45 AM,TAHAO ROAD,Y,5,F,35
,RAWIS B,Y,4,F,
,TAHAO ROAD,Y,4,F,
,DIRETSO,Y,3,F,
,ALTERNATE,Y,3,P,
,RAWIS A,Y,2,F,
,TAHAO ROAD,N,0,F,
,CAMALIG,Y,1,P,
,L1,Y,1,F,
,DIRETSO,Y,2,F,
,RAWIS B,Y,2,P,
11:45 – 12:00 PM,TAHAO ROAD,Y,6,P,42
,RAWIS A,Y,6,P,
,RAWIS B,Y,5,F,
,TAHAO ROAD,Y,5,P,
,DIRETSO,Y,4,F,
,ALTERNATE,Y,4,P,
,TAHAO ROAD,N,0,F,
,LIGAO,Y,2,P,
,GUINOBATAN,Y,1,P,
,L2,Y,2,P,
,RAWIS A,Y,3,F,
12:00 – 12:15 PM,TAHAO ROAD,Y,5,P,36
,RAWIS B,Y,4,P,
,TAHAO ROAD,Y,4,E,
,RAWIS A,Y,3,F,
,DIRETSO,Y,3,P,
,TAHAO ROAD,N,0,F,
,OAS,Y,1,F,
,RAWIS B,Y,2,E,
,L2,Y,2,P,
12:15 – 12:30 PM,TAHAO ROAD,Y,4,F,29
,RAWIS B,Y,4,F,
,TAHAO ROAD,Y,3,F,
,DIRETSO,Y,3,F,
,RAWIS A,Y,2,F,
,ALTERNATE,Y,2,P,
,TAHAO ROAD,N,0,F,
,POLANGUI,Y,1,F,
,LIGAO,Y,1,F,
,DIRETSO,Y,2,E,
12:30 – 12:45 PM,TAHAO ROAD,Y,3,P,22
,RAWIS A,Y,2,E,
,TAHAO ROAD,N,0,F,
,RAWIS B,Y,2,F,
,DIRETSO,Y,2,F,
,L1,Y,1,P,
,CAMALIG,Y,1,P,
,OAS,Y,1,F,
12:45 – 1:00 PM,TAHAO ROAD,Y,2,P,15
,RAWIS A,Y,2,P,
,RAWIS B,Y,2,P,
,TAHAO ROAD,N,0,F,
,DIRETSO,Y,2,P,
,ALTERNATE,Y,1,P,
,TAHAO ROAD,Y,2,P,
,,,,,
PACIFIC MALL,,,,,
"August 18, 2026",,,,,
4:00 PM - 6:00 PM,,,,,
Time,Jeepney Route,Stopped,Passengers,Fullness,Waiting
4:00 – 4:15 PM,RAWIS B,Y,4,P,18
,TAHAO ROAD,Y,3,P,
,RAWIS A,Y,2,E,
,TAHAO ROAD,Y,3,E,
,DIRETSO,Y,2,P,
