SM,,,,,
"August 18, 2026",,,,,
6:00 AM - 8:00 AM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
Time Interval,Jeepney Route,Stopped (Y/N),Boarding Passengers,Fullness,Waiting Passengers
6:00 – 6:15 AM,TAHAO ROAD,Y,4,F,22
,TAHAO ROAD,N,0,E,
,RAWIS A,Y,2,P,
,TAHAO ROAD,Y,5,F,
,DIRETSO,Y,3,P,
,POLANGUI,N,0,E,
,MALABOG,Y,1,P,
,RAWIS A,Y,2,P,
,TAHAO ROAD,Y,4,P,
6:15 – 6:30 AM,TAHAO ROAD,Y,5,P,27
,DIRETSO,Y,2,P,
,POLANGUI,Y,3,P,
,TAHAO ROAD,Y,4,E,
,MALABOG,Y,2,P,
,TAHAO ROAD,N,0,F,
,DIRETSO,Y,3,P,
,RAWIS A,Y,3,P,
,TAHAO ROAD,Y,5,P,
6:30 – 6:45 AM,TAHAO ROAD,Y,6,P,32
,TAHAO ROAD,Y,5,E,
,RAWIS A,Y,4,P,
,DIRETSO,Y,3,P,
,MALABOG,Y,2,P,
,TAHAO ROAD,N,0,F,
,POLANGUI,Y,1,P,
,TAHAO ROAD,Y,4,P,
,RAWIS B,Y,2,P,
6:45 – 7:00 AM,TAHAO ROAD,Y,7,P,38
,TAHAO ROAD,Y,6,E,
,DIRETSO,Y,3,P,
,RAWIS A,Y,3,P,
,TAHAO ROAD,N,0,F,
,MALABOG,Y,2,P,
,POLANGUI,Y,2,P,
,TAHAO ROAD,Y,5,P,
,RAWIS B,Y,3,P,
,OAS,Y,1,P,
7:00 – 7:15 AM,TAHAO ROAD,Y,8,P,26
,RAWIS B,Y,6,E,
,TAHAO ROAD,Y,7,P,
,POLANGUI,Y,2,P,
,TAHAO ROAD,N,0,F,
,DIRETSO,Y,2,P,
,MALABOG,Y,3,P,
,TAHAO ROAD,Y,5,P,
,RAWIS A,Y,2,P,
7:15 – 7:30 AM,TAHAO ROAD,Y,7,P,15
,POLANGUI,Y,3,P,
,TAHAO ROAD,N,0,F,
,RAWIS B,Y,4,P,
,TAHAO ROAD,Y,5,E,
