ROTUNDA,,,,,
"August 14, 2026",,,,,
6:00 AM - 8:00 AM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
6:00-6:15,Diretso,Y,5,P,9
,Diretso,Y,1,P,
,L2,N,,P,
,Diretso,Y,1,P,
,Diretso,N,,P,
,L2,N,,P,
,L2,N,,P,
,Diretso,Y,,P,
,Diretso,Y,4,E,
,L2,Y,1,P,
6:15-6:30,L2,N,,P,3
,Diretso,Y,,E,
,Diretso,Y,,P,
,Diretso,Y,1,P,
,Diretso,Y,,P,
,Diretso,N,,P,
,L2,Y,,E,
,L2,N,,P,
,Diretso,Y,2,P,
,Diretso,Y,,P,
,Diretso,N,,P,
,Diretso,N,,E,
,Diretso,N,,P,
,L2,N,,P,
,L2,Y,1,P,
,Diretso,N,,P,
,Diretso,N,,P,
6:30-6:45,Diretso,Y,1,P,0
,Diretso,Y,1,E,
,L2,N,,P,
,Diretso,Y,,P,
,Diretso,Y,1,P,
,Diretso,Y,1,P,
,L2,Y,,P,
,RAWIS A,N,,P,
,Diretso,Y,,P,
,Diretso,Y,,E,
,Diretso,N,,P,
,Diretso,Y,1,P,
,Diretso,Y,1,P,
,RAWIS B,N,,P,
,L2,N,,P,
,Diretso,Y,,P,
,Diretso,Y,1,E,
6:45-7:00,Diretso,Y,,E,
,Diretso,N,,P,
,L2,Y,1,P,
,Diretso,N,,P,
,Diretso,Y,,E,
,L2,N,,E,
,Diretso,Y,,F,
,Diretso,Y,,P,
,Diretso,N,,P,
,Diretso,N,,P,
,Diretso,Y,6,P,
,Diretso,Y,1,P,
,Diretso,Y,1,P,
,L2,N,,F,
,Diretso,Y,1,P,
7:00-7:15,Diretso,Y,1,P,0
,Diretso,N,,P,
,L2,Y,1,P,
,Diretso,Y,2,E,
,Diretso,N,,F,
,L2,N,,P,
,Diretso,Y,8,P,
,Diretso,Y,5,P,
,Diretso,Y,,F,
,Diretso,Y,3,P,
,Diretso,N,,P,
,L2,N,,P,
,Diretso,Y,3,E,
,Diretso,Y,2,E,
,Diretso,N,,F,
,Diretso,Y,1,P,
7:15-7:30,Diretso,N,,P,5
,L2,Y,,P,
,Diretso,Y,2,P,
,Diretso,Y,2,E,
,Diretso,Y,,E,
,L2,N,,P,
,Diretso,N,,P,
,Diretso,Y,3,P,
,Diretso,N,,F,
,Diretso,N,,E,
,Diretso,Y,2,P,
,L2,N,,P,
,L2,Y,2,P,
,Diretso,Y,,P,
7:30-7:45,Diretso,Y,,F,1
,Diretso,Y,2,P,
,Diretso,N,,P,
,Diretso,Y,5,E,
,Diretso,Y,3,E,
,Diretso,Y,9,E,
,Diretso,Y,,E,
,Diretso,N,,F,
,L2,N,,F,
,Diretso,N,,P,
,Diretso,Y,2,E,
,Diretso,Y,4,E,
,L2,N,,P,
,Diretso,Y,1,P,
,L1,N,,E,
7:45-8:00,L2,N,,P,0
,Diretso,Y,2,E,
,L2,N,,P,
,Diretso,Y,1,P,
,RAWIS A,Y,1,P,
,Diretso,Y,2,E,
,Diretso,N,,P,
,Diretso,N,,P,
,L2,Y,2,F,
,Diretso,N,,P,
,RAWIS B,N,,P,
,Diretso,Y,2,P,
,Diretso,Y,1,P,
,Diretso,N,,P,
,L2,N,,F,
,,,,,
ROTUNDA,,,,,
"August 14, 2026",,,,,
11:00 AM - 1:00 PM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
11:00-11:15,Diretso,Y,3,E,5
,Diretso,Y,11,E,
,L2,N,,P,
,Diretso,Y,,P,
,Diretso,N,4,P,
,Diretso,Y,1,P,
,Diretso,Y,2,P,
,L2,Y,3,P,
,Diretso,N,,F,
,Diretso,Y,3,P,
,Diretso,Y,9,P,
,L2,N,,P,
,Diretso,Y,13,E,
,Diretso,Y,6,E,
,Diretso,N,,F,
,Diretso,Y,7,E,
11:15-11:30,Diretso,Y,7,P,22
,Diretso,N,,P,
,Diretso,Y,,E,
,L2,Y,1,P,
,Diretso,Y,8,E,
,Diretso,Y,9,P,
,L2,Y,13,E,
,Diretso,N,,F,
,Diretso,Y,3,P,
,Diretso,Y,6,P,
,L2,Y,5,P,
,Diretso,Y,4,E,
,Diretso,Y,2,P,
,L2,N,,P,
11:30-11:45,Diretso,Y,2,F,17
,Diretso,Y,11,P,
,RAWIS A,N,,P,
,Diretso,Y,7,E,
,Diretso,Y,8,P,
,Diretso,Y,3,P,
,Diretso,N,,F,
,L2,N,,F,
,Diretso,Y,8,E,
,L2,Y,6,P,
,Diretso,Y,11,E,
,Diretso,Y,9,P,
,Diretso,Y,8,E,
,Diretso,N,,F,
,L2,Y,4,P,
,L2,N,,P,
,Diretso,Y,3,E,
,RAWIS A,N,,P,
11:45-12:00,Diretso,Y,5,F,7
,Diretso,Y,7,P,
,Diretso,N,,F,
,Diretso,Y,11,E,
,L2,Y,4,P,
,Diretso,Y,16,E,
,Diretso,Y,9,P,
,Diretso,Y,4,P,
,L2,Y,2,F,
,Diretso,Y,6,P,
,L2,N,,P,
,Diretso,Y,8,E,
,Diretso,N,,F,
,L2,N,,P,
,Diretso,Y,3,P,
,Diretso,Y,2,P,
,Diretso,N,,F,
,Diretso,N,,P,
,RAWIS A,N,,P,
,L2,N,,F,
,Diretso,Y,7,P,
12:00-12:15,Diretso,N,,P,12
,L2,N,,P,
,L2,N,,F,
,Diretso,Y,6,P,
,Diretso,Y,2,E,
,Diretso,Y,10,P,
,Diretso,N,,F,
,Diretso,Y,7,P,
,L2,Y,6,P,
,L2,Y,2,E,
,Diretso,Y,5,P,
,Diretso,Y,6,P,
,Diretso,N,,P,
,RAWIS A,Y,9,P,
,Diretso,N,,F,
,Diretso,Y,8,P,
,Diretso,N,,P,
,Diretso,Y,9,P,
,L2,Y,5,P,
,Diretso,Y,7,P,
12:15-12:30,Diretso,Y,8,P,15
,Diretso,Y,3,E,
,Diretso,Y,5,P,
,Diretso,Y,4,E,
,Diretso,Y,9,P,
,L2,Y,7,P,
,L2,Y,5,P,
,Diretso,N,,F,
,L2,Y,4,E,
,Diretso,Y,6,P,
,Diretso,Y,7,P,
,Diretso,N,,F,
,Diretso,Y,7,P,
,L2,N,,F,
,Diretso,N,,P,
,Diretso,N,,F,
,Diretso,Y,9,P,
,RAWIS A,N,,F,
12:30-12:45,Diretso,Y,8,P,10
,Diretso,Y,7,P,
,Diretso,Y,4,E,
,Diretso,Y,8,P,
,Diretso,Y,5,P,
,Diretso,N,,F,
,Diretso,Y,7,P,
,L2,N,,F,
,Diretso,Y,8,P,
,L2,Y,4,E,
,Diretso,N,,F,
,Diretso,Y,3,E,
,L2,Y,7,P,
,L2,N,,P,
,Diretso,N,,F,
,Diretso,Y,4,E,
12:45-1:00,RAWIS A,N,,F,6
,Diretso,N,,F,
,L2,N,,P,
,Diretso,Y,6,P,
,L2,Y,3,E,
,Diretso,Y,5,P,
,Diretso,Y,9,P,
,Diretso,N,,F,
,Diretso,Y,4,E,
,Diretso,Y,4,E,
,Diretso,Y,7,P,
,Diretso,N,,P,
,Diretso,Y,11,P,
,L2,Y,4,E,
,Diretso,Y,5,P,
,,,,,
ROTUNDA,,,,,
"August 14, 2026",,,,,
4:00 PM - 6:00 PM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
4:00 – 4:15 PM,Diretso,Y,4,E,14
,Diretso,Y,6,P,
,L2,N,—,P,
,Diretso,Y,3,P,
,Diretso,N,—,F,
,Diretso,Y,5,P,
,L2,Y,2,P,
,Diretso,Y,8,E,
,Diretso,Y,4,P,
,RAWIS A,N,—,P,
,Diretso,Y,7,E,
,L2,Y,5,P,
,Diretso,N,—,F,
,Diretso,Y,6,P,
4:15 – 4:30 PM,Diretso,Y,8,E,22
,Diretso,Y,5,P,
,L2,N,—,F,
,Diretso,Y,9,P,
,Diretso,Y,4,P,
,RAWIS B,N,—,F,
,L2,Y,6,P,
,Diretso,N,—,F,
,Diretso,Y,11,E,
,Diretso,Y,7,P,
,L2,Y,4,P,
,Diretso,Y,8,P,
,Diretso,N,—,F,
4:30 – 4:45 PM,Diretso,Y,12,E,31
,L2,Y,5,P,
,Diretso,Y,8,P,
,Diretso,N,—,F,
,RAWIS A,Y,3,P,
,Diretso,Y,14,E,
,L2,N,—,F,
,Diretso,Y,9,P,
,Diretso,Y,10,P,
,Diretso,N,—,F,
,L2,Y,7,P,
,Diretso,Y,6,P,
,Diretso,Y,11,P,
,Diretso,N,—,F,
4:45 – 5:00 PM,Diretso,Y,15,E,38
,L2,Y,8,P,
,Diretso,N,—,F,
,Diretso,Y,11,P,
,Diretso,Y,9,P,
,L2,N,—,F,
,Diretso,Y,13,E,
,RAWIS A,N,—,F,
,Diretso,Y,7,P,
,Diretso,N,—,F,
,L2,Y,6,P,
,Diretso,Y,10,P,
,Diretso,Y,8,P,
5:00 – 5:15 PM,Diretso,Y,16,E,45
,Diretso,Y,12,P,
,L2,N,—,F,
,Diretso,N,—,F,
,Diretso,Y,9,P,
,L2,Y,8,P,
,Diretso,Y,14,E,
,Diretso,N,—,F,
,RAWIS B,Y,4,P,
,Diretso,Y,11,P,
,L2,N,—,F,
,Diretso,Y,10,P,
,Diretso,N,—,F,
,Diretso,Y,13,P,
5:15 – 5:30 PM,Diretso,Y,14,P,42
,L2,Y,9,P,
,Diretso,N,—,F,
,Diretso,Y,11,P,
,Diretso,Y,8,P,
,L2,N,—,F,
,RAWIS A,Y,5,P,
,Diretso,Y,12,E,
,Diretso,N,—,F,
,Diretso,Y,9,P,
,L2,Y,6,P,
,Diretso,Y,10,P,
,Diretso,N,—,F,
5:30 – 5:45 PM,Diretso,Y,10,P,28
,L2,Y,7,P,
,Diretso,Y,8,P,
,Diretso,N,—,F,
,Diretso,Y,9,E,
,L2,Y,5,P,
,Diretso,Y,6,P,
,RAWIS A,N,—,F,
,Diretso,Y,7,P,
,Diretso,N,—,F,
,L2,N,—,P,
,Diretso,Y,8,P,
5:45 – 6:00 PM,Diretso,Y,6,P,16
,L2,Y,4,P,
,Diretso,N,—,F,
,Diretso,Y,5,P,
,Diretso,Y,7,E,
,L2,N,—,P,
,Diretso,Y,4,P,
,Diretso,N,—,F,
,RAWIS B,Y,2,P,
,Diretso,Y,5,P,
,L2,Y,3,P,
,Diretso,Y,4,E,
