EMBARCDERO,,,,,
"August 18, 2026",,,,,
6:00 AM - 8:00 AM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
6:00 – 6:15 AM,RAWIS B,Y,1,P,1
,CAMALIG,Y,4,P,
,RAWIS A,N,0,P,
,LIGAO,Y,2,P,
,POLANGUI,Y,1,P,
,CAMALIG,Y,5,P,
,TAHAO ROAD,N,0,E,
,RAWIS A,Y,0,P,
,CAMALIG,Y,4,P,
,POLANGUI,Y,2,P,
,RAWIS A,Y,1,P,
6:15 – 6:30 AM,RAWIS A,Y,0,P,1
,CAMALIG,Y,4,P,
,POLANGUI,Y,1,P,
,RAWIS B,N,0,P,
,TAHAO ROAD,N,0,P,
,CAMALIG,Y,6,E,
,GUINOBATAN,N,0,F,
,RAWIS A,Y,1,P,
,POLANGUI,Y,2,P,
,CAMALIG,Y,5,P,
,RAWIS A,Y,0,P,
6:30 – 6:45 AM,RAWIS A,N,0,P,2
,CAMALIG,Y,4,E,
,POLANGUI,Y,2,P,
,RAWIS B,Y,0,P,
,GUINOBATAN,N,0,P,
,CAMALIG,Y,5,P,
,RAWIS A,Y,1,P,
,MALABOG,Y,1,P,
,POLANGUI,Y,3,P,
,CAMALIG,Y,6,P,
,POLANGUI,Y,2,P,
,RAWIS A,Y,1,P,
6:45 – 7:00 AM,POLANGUI,Y,2,P,2
,CAMALIG,Y,5,P,
,RAWIS A,N,0,P,
,GUINOBATAN,Y,1,E,
,RAWIS B,Y,0,P,
,CAMALIG,Y,7,P,
,POLANGUI,Y,2,P,
,LIGAO,N,0,P,
,RAWIS A,Y,1,P,
,CAMALIG,Y,6,P,
,POLANGUI,Y,3,P,
7:00 – 7:15 AM,RAWIS A,Y,2,P,2
,CAMALIG,Y,8,P,
,POLANGUI,N,0,P,
,GUINOBATAN,Y,1,P,
,RAWIS B,Y,0,P,
,CAMALIG,Y,9,E,
,POLANGUI,Y,5,P,
,RAWIS A,N,0,F,
,OAS,Y,2,P,
,CAMALIG,Y,7,P,
,POLANGUI,Y,4,P,
,RAWIS A,Y,1,P,
7:15 – 7:30 AM,CAMALIG,Y,7,P,1
,RAWIS A,Y,0,P,
,POLANGUI,Y,3,P,
,GUINOBATAN,N,0,P,
,CAMALIG,Y,5,E,
,RAWIS B,Y,1,P,
,LIGAO,N,0,F,
,RAWIS A,Y,2,P,
,CAMALIG,Y,6,P,
,POLANGUI,Y,2,P,
7:30 – 7:45 AM,CAMALIG,Y,4,P,2
,RAWIS A,N,0,P,
,POLANGUI,Y,2,P,
,CAMALIG,Y,5,E,
,RAWIS B,Y,1,P,
,GUINOBATAN,N,0,P,
,LIGAO,Y,2,P,
,CAMALIG,Y,4,P,
,RAWIS A,Y,1,P,
7:45 – 8:00 AM,CAMALIG,Y,5,P,1
,RAWIS A,Y,1,P,
,POLANGUI,Y,2,P,
,RAWIS B,N,0,P,
,GUINOBATAN,Y,1,P,
,CAMALIG,Y,3,E,
,CAMALIG,Y,4,P,
,POLANGUI,Y,2,P,
,,,,,
EMBARCDERO,,,,,
"August 18, 2026",,,,,
11:00 AM - 1:00 PM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
11:00 – 11:15 AM,RAWIS A,Y,1,P,1
,CAMALIG,Y,5,P,
,POLANGUI,Y,3,P,
,CAMALIG,N,0,F,
,RAWIS B,Y,0,P,
,OAS,Y,2,P,
,GUINOBATAN,Y,1,P,
,CAMALIG,Y,4,P,
,POLANGUI,Y,2,P,
11:15 – 11:30 AM,POLANGUI,Y,3,P,3
,CAMALIG,Y,5,P,
,RAWIS A,Y,1,P,
,GUINOBATAN,N,0,P,
,RAWIS B,Y,0,F,
,OAS,Y,2,P,
,CAMALIG,Y,4,P,
,RAWIS A,Y,1,P,
11:30 – 11:45 AM,CAMALIG,Y,3,P,2
,POLANGUI,Y,2,P,
,RAWIS A,Y,1,P,
,TAHAO ROAD,N,0,F,
,GUINOBATAN,Y,2,P,
,OAS,Y,1,P,
,CAMALIG,Y,4,P,
,POLANGUI,Y,3,P,
11:45 – 12:00 PM,CAMALIG,Y,4,P,7
,POLANGUI,Y,5,P,
,RAWIS A,Y,2,P,
,GUINOBATAN,N,0,P,
,OAS,Y,1,P,
,MALABOG,Y,1,P,
,CAMALIG,Y,5,P,
,RAWIS A,Y,2,P,
12:00 – 12:15 PM,CAMALIG,Y,5,P,10
,POLANGUI,Y,4,P,
,RAWIS A,Y,2,P,
,LIGAO,Y,1,P,
,OAS,N,0,F,
,RAWIS B,Y,1,P,
,CAMALIG,Y,4,P,
,POLANGUI,Y,3,P,
12:15 – 12:30 PM,CAMALIG,Y,4,P,6
,POLANGUI,Y,3,P,
,RAWIS A,Y,2,P,
,GUINOBATAN,Y,1,P,
,OAS,N,0,F,
,CAMALIG,Y,3,P,
,RAWIS A,Y,1,P,
12:30 – 12:45 PM,CAMALIG,Y,3,P,3
,POLANGUI,Y,2,P,
,RAWIS A,Y,1,P,
,GUINOBATAN,Y,1,P,
,RAWIS B,N,0,P,
,CAMALIG,Y,3,P,
,POLANGUI,Y,2,P,
12:45 – 1:00 PM,CAMALIG,Y,2,P,1
,RAWIS A,Y,1,P,
,POLANGUI,Y,2,P,
,GUINOBATAN,N,0,P,
,CAMALIG,Y,2,P,
,RAWIS A,Y,1,P,
,,,,,
EMBARCDERO,,,,,
"August 18, 2026",,,,,
4:00 PM - 6:00 PM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
4:00 – 4:15 PM,CAMALIG,Y,7,P,6
,POLANGUI,Y,5,P,
,RAWIS A,Y,3,P,
,GUINOBATAN,Y,2,E,
,OAS,Y,1,F,
,CAMALIG,Y,6,P,
,POLANGUI,Y,4,P,
4:15 – 4:30 PM,POLANGUI,Y,8,P,11
,CAMALIG,Y,7,P,
,RAWIS A,Y,4,P,
,GUINOBATAN,Y,3,F,
,OAS,Y,2,F,
,CAMALIG,Y,7,P,
,POLANGUI,Y,6,P,
,RAWIS A,Y,2,P,
4:30 – 4:45 PM,CAMALIG,Y,10,E,18
,POLANGUI,Y,9,P,
,RAWIS A,Y,4,F,
,GUINOBATAN,Y,4,P,
,OAS,Y,3,F,
,CAMALIG,Y,9,E,
,POLANGUI,Y,7,P,
,RAWIS A,Y,3,P,
4:45 – 5:00 PM,CAMALIG,Y,12,E,24
,POLANGUI,Y,11,F,
,RAWIS A,Y,5,F,
,GUINOBATAN,Y,4,P,
,OAS,Y,3,F,
,CAMALIG,Y,10,E,
,POLANGUI,Y,8,F,
,RAWIS A,Y,4,P,
5:00 – 5:15 PM,POLANGUI,Y,13,E,28
,CAMALIG,Y,12,E,
,RAWIS A,Y,6,F,
,GUINOBATAN,Y,4,P,
,OAS,Y,3,F,
,CAMALIG,Y,11,E,
,POLANGUI,Y,9,P,
,RAWIS A,Y,4,F,
5:15 – 5:30 PM,CAMALIG,Y,10,E,25
,POLANGUI,Y,9,P,
,RAWIS A,Y,5,F,
,GUINOBATAN,Y,4,P,
,OAS,Y,2,F,
,CAMALIG,Y,8,P,
,POLANGUI,Y,7,P,
,RAWIS A,Y,3,P,
5:30 – 5:45 PM,CAMALIG,Y,7,P,14
,POLANGUI,Y,6,P,
,RAWIS A,Y,4,P,
