PACIFIC MALL,,,,,
"August 14, 2026",,,,,
6:00 AM - 8:00 AM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
6:00-6:15,DIRETSO,Y,1,P,8
,RAWIS B,N,,P,
,TAHAO ,Y,1,P,
,TAHAO ,Y,1,P,
,TAHAO ,Y,2,P,
,TAHAO ,Y,2,P,
,TAHAO ,Y,,P,
,TAHAO ,Y,,P,
,DIRETSO,N,,P,
,DIRETSO,Y,1,P,
,RAWIS B,N,,P,
,RAWIS B,N,,P,
,TAHAO ,Y,,P,
,DIRETSO,N,,F,
6:15-6:30,RAWIS B,N,,P,4
,TAHAO ,Y,1,P,
,TAHAO ,Y,,P,
,RAWIS  A,Y,,P,
,TAHAO ,Y,,P,
,TAHAO ,Y,1,P,
,DIRETSO,N,,P,
,RAWIS B,Y,1,P,
,TAHAO ,Y,1,P,
,DIRETSO,N,,P,
,DIRETSO,N,,P,
,RAWIS  B,Y,1,P,
6:30-6:45,DIRETSO,N,,P,8
,RAWIS B,Y,1,P,
,RAWIS A,N,,P,
,DIRETSO,Y,2,P,
,RAWIS B,N,,P,
,TAHAO ,Y,1,P,
,DIRETSO,Y,1,P,
,DIRETSO,N,,P,
,TAHAO ,Y,2,P,
,TAHAO ,Y,2,P,
,RAWIS B,N,,P,
,TAHAO ,Y,2,P,
6:45-7:00,TAHAO ,Y,1,P,18
,TAHAO ,Y,2,P,
,RAWIS B,N,,F,
,DIRETSO,Y,1,P,
,DIRETSO,Y,,P,
,DIRETSO,Y,3,P,
,RAWIS A,Y,1,P,
,TAHAO ,Y,,P,
,TAHAO ,Y,1,P,
,RAWIS A,Y,,P,
,DIRETSO,Y,2,P,
,DIRETSO,Y,1,P,
,RAWIS A,Y,6,P,
,TAHAO ,Y,2,P,
,CAMALIG,Y,2,P,
,RAWIS  A,Y,,P,
,RAWIS B,N,,F,
,DIRETSO,Y,4,P,
,TAHAO ,Y,,P,
,DIRETSO,Y,2,P,
,DIRETSO,N,,P,
,TAHAO ,Y,2,P,
7:00-7:15,DIRETSO,Y,1,P,14
,DIRETSO,N,,P,
,TAHAO,Y,1,P,
,DIRETSO,Y,2,P,
,DIRETSO,Y,4,F,
,DIRETSO,Y,3,F,
,RAWIS A,N,,P,
,DIRETSO,Y,1,P,
,TAHAO,Y,2,P,
,DIRETSO,Y,1,P,
,RAWIS B,N,,P,
7:15-7:30,TAHAO,Y,1,P,22
,TAHAO,N,,P,
,RAWIS A,Y,2,P,
,DIRETSO,Y,2,P,
,RAWIS A,Y,1,P,
,TAHAO,Y,4,P,
,DIRETSO,Y,1,P,
,RAWIS B,Y,3,P,
,RAWIS B,N,,P,
,RAWIS A,Y,5,P,
,CAMALIG,Y,1,P,
,TAHAO ,Y,1,P,
,TAHAO,N,,P,
,DIRETSO,Y,2,P,
,DIRETSO,Y,2,P,
7:30-7:45,RAWIS B,Y,1,P,8
,TAHAO,Y,1,P,
,TAHAO,N,,P,
,DIRETSO,Y,1,P,
,TAHAO,Y,3,P,
,TAHAO,N,,P,
,RAWIS A,Y,1,F,
,TAHAO,N,,P,
,DIRETSO,Y,1,P,
,DIRETSO,N,,P,
,DIRETSO,Y,2,P,
,RAWIS B,Y,1,P,
7:45-8:00,TAHAO,Y,1,P,21
,TAHAO,N,,P,
,DIRETSO,Y,1,P,
,DIRETSO,Y,2,P,
,DIRETSO,N,,P,
,TAHAO,Y,1,P,
,RAWIS A,Y,1,P,
,TAHAO,Y,3,P,
,RAWIS A,Y,1,P,
,DIRETSO,Y,3,P,
,TAHAO,Y,6,P,
,DITETSO,Y,2,P,
,TAHAO,Y,3,P,
,TAHAO,N,,P,
,DIRETSO,Y,1,F,
,RAWIS B,Y,3,P,
,RAWIS B,N,,F,
,,,,,
PACIFIC MALL,,,,,
"August 14, 2026",,,,,
11:00 AM - 1:00 PM,,,,,
