PACIFIC MALL,,,,,
"August 17, 2026",,,,,
6:00 AM - 8:00 AM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
6:00 – 6:15 AM,RAWIS A,Y,4,P,28
,TAHAO ROAD,Y,5,E,
,RAWIS B,Y,5,P,
,TAHAO ROAD,N,0,F,
,DIRETSO,Y,3,P,
,ALTERNATE,Y,2,P,
,TAHAO ROAD,Y,4,P,
,L1,Y,2,P,
,POLANGUI,N,0,F,
,CAMALIG,N,0,P,
,RAWIS B,Y,3,P,
,DIRETSO,N,0,F,
,TAHAO ROAD,Y,3,E,
,RAWIS A,Y,3,E,
6:15 – 6:30 AM,TAHAO ROAD,Y,6,P,22
,RAWIS B,Y,6,E,
,TAHAO ROAD,Y,4,P,
,RAWIS A,Y,4,P,
,DIRETSO,Y,3,P,
,ALTERNATE,Y,2,P,
,TAHAO ROAD,N,0,F,
,OAS,N,0,F,
,LIGAO,N,0,P,
,RAWIS B,Y,4,F,
,DIRETSO,Y,2,P,
,TAHAO ROAD,Y,3,P,
,GUINOBATAN,N,0,F,
,RAWIS A,Y,2,E,
6:30 – 6:45 AM,TAHAO ROAD,Y,5,E,18
,RAWIS A,Y,5,E,
,RAWIS B,Y,4,P,
,TAHAO ROAD,Y,4,P,
,DIRETSO,Y,3,P,
,ALTERNATE,Y,2,P,
,TAHAO ROAD,N,0,F,
,CAMALIG,N,0,P,
,POLANGUI,N,0,F,
,RAWIS B,Y,3,P,
,TAHAO ROAD,Y,3,F,
,L2,N,0,P,
,DIRETSO,Y,2,P,
6:45 – 7:00 AM,TAHAO ROAD,Y,7,P,32
,RAWIS B,Y,7,P,
,TAHAO ROAD,Y,6,E,
,RAWIS A,Y,5,P,
,DIRETSO,Y,4,P,
,TAHAO ROAD,N,0,F,
,ALTERNATE,Y,3,P,
,L1,Y,2,E,
,OAS,N,0,F,
,RAWIS B,Y,4,E,
,TAHAO ROAD,Y,5,P,
,CAMALIG,N,0,P,
,DIRETSO,Y,3,P,
,RAWIS A,Y,3,P,
7:00 – 7:15 AM,TAHAO ROAD,Y,8,P,36
,RAWIS A,Y,8,P,
,RAWIS B,Y,7,P,
,TAHAO ROAD,Y,6,P,
,DIRETSO,Y,5,P,
,TAHAO ROAD,N,0,F,
,ALTERNATE,Y,4,P,
,POLANGUI,N,0,F,
,LIGAO,N,0,P,
,RAWIS B,Y,4,E,
,TAHAO ROAD,Y,5,P,
,DIRETSO,N,0,F,
,L2,N,0,P,
,RAWIS A,Y,3,E,
7:15 – 7:30 AM,TAHAO ROAD,Y,6,P,26
,RAWIS B,Y,6,P,
,TAHAO ROAD,Y,5,P,
,DIRETSO,Y,4,E,
,RAWIS A,Y,3,P,
,TAHAO ROAD,N,0,F,
,ALTERNATE,Y,3,P,
,CAMALIG,N,0,P,
,OAS,N,0,F,
,RAWIS B,Y,3,E,
,TAHAO ROAD,Y,4,P,
,DIRETSO,Y,2,P,
7:30 – 7:45 AM,TAHAO ROAD,Y,5,P,20
,RAWIS A,Y,4,P,
,RAWIS B,Y,4,P,
,TAHAO ROAD,Y,3,E,
,DIRETSO,Y,2,P,
,ALTERNATE,Y,2,P,
,TAHAO ROAD,N,0,F,
,GUINOBATAN,N,0,P,
,L1,N,0,P,
,RAWIS B,Y,2,E,
,TAHAO ROAD,Y,3,P,
7:45 – 8:00 AM,TAHAO ROAD,Y,4,P,15
,RAWIS B,Y,3,E,
,TAHAO ROAD,N,0,F,
,RAWIS A,Y,2,P,
,DIRETSO,Y,2,P,
,ALTERNATE,Y,1,P,
,CAMALIG,N,0,P,
,RAWIS B,Y,1,E,
,,,,,
PACIFIC MALL,,,,,
"August 17, 2026",,,,,
11:00 AM - 1:00 PM,,,,,
Time,Jeepney Route,Stopped,Passengers,Fullness,Waiting
11:00 – 11:15 AM,TAHAO ROAD,Y,5,F,30
,TAHAO ROAD,N,0,F,
,RAWIS A,Y,4,E,
,RAWIS B,Y,4,P,
,DIRETSO,Y,3,F,
,TAHAO ROAD,Y,4,P,
,ALTERNATE,Y,3,P,
,OAS,N,0,F,
,LIGAO,N,0,P,
,TAHAO ROAD,N,0,F,
,CAMALIG,N,0,P,
,RAWIS B,Y,3,F,
,DIRETSO,N,0,F,
11:15 – 11:30 AM,TAHAO ROAD,Y,6,F,36
,RAWIS A,Y,6,F,
,TAHAO ROAD,Y,5,P,
,DIRETSO,Y,4,F,
,ALTERNATE,Y,4,F,
,RAWIS B,Y,3,P,
,TAHAO ROAD,N,0,F,
,POLANGUI,N,0,P,
,L2,N,0,P,
,RAWIS A,N,0,F,
,TAHAO ROAD,Y,4,E,
,DIRETSO,Y,3,F,
,OAS,N,0,F,
11:30 – 11:45 AM,TAHAO ROAD,Y,7,F,42
,RAWIS B,Y,5,F,
,TAHAO ROAD,Y,6,F,
,DIRETSO,Y,4,F,
,ALTERNATE,Y,4,P,
,RAWIS A,Y,3,F,
,TAHAO ROAD,N,0,F,
,CAMALIG,N,0,P,
,L1,N,0,F,
,GUINOBATAN,N,0,P,
,DIRETSO,Y,3,F,
,RAWIS B,Y,3,P,
11:45 – 12:00 PM,TAHAO ROAD,Y,8,P,50
,RAWIS A,Y,8,P,
,RAWIS B,Y,6,F,
,TAHAO ROAD,Y,6,P,
,DIRETSO,Y,5,F,
,ALTERNATE,Y,5,P,
,TAHAO ROAD,N,0,F,
,LIGAO,N,0,P,
,POLANGUI,N,0,E,
,L2,N,0,P,
,RAWIS A,Y,4,F,
,TAHAO ROAD,Y,4,F,
,DIRETSO,Y,3,F,
12:00 – 12:15 PM,TAHAO ROAD,Y,6,P,44
,RAWIS B,Y,5,P,
,TAHAO ROAD,Y,5,E,
,RAWIS A,Y,4,F,
,DIRETSO,Y,4,P,
,ALTERNATE,N,0,P,
,TAHAO ROAD,N,0,F,
,OAS,N,0,F,
,CAMALIG,N,0,P,
,RAWIS B,Y,3,E,
,L2,N,0,P,
12:15 – 12:30 PM,TAHAO ROAD,Y,5,F,35
,RAWIS B,Y,5,F,
,TAHAO ROAD,Y,4,F,
,DIRETSO,Y,4,F,
,RAWIS A,Y,3,F,
,ALTERNATE,Y,3,P,
,TAHAO ROAD,N,0,F,
,POLANGUI,N,0,F,
,LIGAO,N,0,F,
,OAS,N,0,F,
,DIRETSO,Y,2,E,
12:30 – 12:45 PM,TAHAO ROAD,Y,4,P,28
,RAWIS A,Y,3,E,
,TAHAO ROAD,N,0,F,
,RAWIS B,Y,3,F,
,DIRETSO,Y,3,F,
,ALTERNATE,N,0,F,
,L1,N,0,P,
,CAMALIG,N,0,P,
,OAS,N,0,F,
,TAHAO ROAD,Y,3,P,
12:45 – 1:00 PM,TAHAO ROAD,Y,3,P,20
,RAWIS A,Y,3,P,
,RAWIS B,Y,3,P,
,TAHAO ROAD,N,0,F,
,DIRETSO,Y,2,P,
,ALTERNATE,Y,2,P,
,CAMALIG,N,0,P,
,OAS,N,0,P,
,TAHAO ROAD,Y,2,P,
,,,,,
PACIFIC MALL,,,,,
"August 17, 2026",,,,,
4:00 PM - 6:00 PM,,,,,
Time,Jeepney Route,Stopped,Passengers,Fullness,Waiting
4:00 – 4:15 PM,RAWIS B,Y,5,P,22
,TAHAO ROAD,Y,4,P,
,RAWIS A,Y,3,E,
,TAHAO ROAD,Y,4,E,
,DIRETSO,Y,3,P,
,ALTERNATE,Y,2,P,
,TAHAO ROAD,N,0,F,
,POLANGUI,Y,1,P,
,OAS,Y,1,P,
,CAMALIG,N,0,F,
,RAWIS B,Y,3,P,
4:15 – 4:30 PM,RAWIS A,Y,6,E,28
,TAHAO ROAD,Y,6,E,
,RAWIS B,Y,5,P,
,TAHAO ROAD,Y,5,E,
,DIRETSO,Y,4,F,
,ALTERNATE,Y,3,P,
,TAHAO ROAD,N,0,F,
,L1,Y,1,P,
,CAMALIG,Y,2,P,
,DIRETSO,Y,3,F,
,LIGAO,Y,2,P,
4:30 – 4:45 PM,RAWIS B,Y,8,P,38
,TAHAO ROAD,Y,7,P,
,RAWIS A,Y,6,P,
,TAHAO ROAD,Y,7,E,
,DIRETSO,Y,5,P,
,ALTERNATE,Y,4,P,
,TAHAO ROAD,N,0,F,
,L2,Y,2,P,
,POLANGUI,Y,2,P,
,CAMALIG,Y,2,P,
,RAWIS B,N,0,F,
4:45 – 5:00 PM,RAWIS A,Y,9,E,48
,TAHAO ROAD,Y,9,E,
,RAWIS B,Y,8,P,
,TAHAO ROAD,Y,7,E,
,DIRETSO,Y,6,P,
,ALTERNATE,Y,5,F,
,TAHAO ROAD,N,0,F,
,OAS,Y,3,P,
,LIGAO,Y,3,P,
,DIRETSO,Y,4,F,
,POLANGUI,Y,2,P,
5:00 – 5:15 PM,RAWIS B,Y,12,E,58
,TAHAO ROAD,Y,11,E,
,RAWIS A,Y,10,P,
,TAHAO ROAD,Y,9,E,
,DIRETSO,Y,8,P,
,ALTERNATE,N,0,F,
,TAHAO ROAD,N,0,F,
,CAMALIG,Y,4,P,
,POLANGUI,Y,3,P,
,L2,Y,3,P,
,DIRETSO,N,0,F,
,RAWIS A,Y,4,F,
5:15 – 5:30 PM,RAWIS A,Y,8,P,46
,TAHAO ROAD,Y,8,P,
,RAWIS B,Y,8,P,
,TAHAO ROAD,Y,7,P,
,DIRETSO,Y,6,P,
,ALTERNATE,Y,4,P,
,TAHAO ROAD,N,0,F,
,CAMALIG,Y,3,P,
,L1,Y,2,P,
,OAS,Y,2,P,
,DIRETSO,Y,4,F,
5:30 – 5:45 PM,RAWIS B,Y,6,P,32
,TAHAO ROAD,Y,6,P,
