SM,,,,,
"August 14, 2026",,,,,
6:00 AM - 8:00 AM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
6:00-6:15,TAHAO,Y,,F,28
,TAHAO,N,,E,
,RAWIS A,Y,2,P,
,TAHAO,N,,E,
,TAHAO,Y,,F,
,DIRETSO,Y,3,P,
,RAWIS A,N,,P,
,DIRETSO,N,,P,
,RAWIS A,Y,1,P,
,RAWIS A,Y,4,P,
,TAHAO,N,,P,
,TAHAO,Y,5,P,
,TAHAO,N,,P,
,POLANGUI,Y,,E,
,MALABOG,Y,,E,
,TAHAO,Y,6,P,
,TAHAO,N,,P,
6:15-6:30,DIRETSO,Y,4,P,32
,OAS,N,,E,
,POLANGUI,N,,P,
,TAHAO,Y,5,P,
,TAHAO,N,,P,
,MALABOG,Y,3,P,
,TAHAO,Y,12,P,
,DIRETSO,Y,2,P,
,DIRETSO,N,,F,
,POLANGUI,Y,1,P,
,RAWIS A,Y,6,P,
,TAHAO,Y,5,P,
,TAHAO,Y,14,P,
,DIRETSO,N,,F,
6:30-6:45,TAHAO,Y,4,P,15
,POLANGUI,Y,1,P,
,DIRETSO,N,,P,
,TAHAO,N,,P,
,RAWIS A,Y,1,P,
,TAHAO,Y,7,P,
,RAWIS A,Y,8,P,
,TAHAO,Y,4,P,
,TAHAO,Y,3,P,
,TAHAO,N,,F,
,TAHAO,N,,P,
,RAWIS   A,Y,4,P,
,DIRETSO,N,,E,
6:45-7:00,TAHAO,Y,3,P,20
,TAHAO,N,,P,
,TAHAO,N,,P,
,RAWIS A,Y,4,P,
,RAWIS B,Y,6,P,
,TAHAO,Y,3,P,
,DIRETSO,N,,P,
,MALABOG,Y,3,P,
,TAHAO,Y,7,E,
,TAHAO,Y,8,P,
,TAHAO,Y,4,P,
,DIRETSO,N,,F,
,DIRETSO,N,,P,
,POLANGUI,N,,F,
,TAHAO,Y,7,P,
,TAHAO,Y,3,P,
,TAHAO,Y,8,E,
,TAHAO,Y,3,P,
7:00-7:15,DIRETSO,N,,,42
,DIRETSO,N,,,
,TAHAO,Y,3,,
,TAHAO,Y,5,,
,TAHAO,Y,7,,
,RAWIS A,N,,,
,TAHAO,Y,3,,
,MALABOG,Y,4,,
,MALABOG,Y,1,,
,POLANGUI,Y,1,,
,DIRETSO,N,,,
,TAHAO,Y,8,,
,CAMALIG,N,,,
,POLANGUI,Y,3,,
,TAHAO,Y,7,,
,TAHAO,N,,,
7:15-7:30,RAWIS A,Y,7,F,26
,POLANGUI,Y,4,P,
,TAHAO,N,,F,
,DIRETSO,N,,F,
,RAWIS B,Y,8,E,
,TAHAO,Y,8,P,
,MALABOG,Y,2,P,
,DIRETSO,N,,F,
,TAHAO,Y,7,P,
,TAHAO,Y,5,P,
,POLANGUI,Y,3,F,
,LIGAO,Y,3,P,
,OAS,Y,8,P,
,TAHAO,Y,6,P,
,TAHAO,Y,4,P,
,RAWIS A,N,,P,
,TAHAO,N,,E,
,TAHAO,N,,P,
7:30-7:45,MALABOG,Y,1,E,13
,TAHAO,N,,P,
,DIRETSO,N,,P,
,POLANGUI,Y,7,P,
,POLANGUI,N,,P,
,TAHAO,Y,9,P,
,RAWIS A,N,,F,
,RAWIS B,Y,9,P,
,TAHAO,N,,P,
,RAWIS A,Y,2,P,
,TAHAO,Y,7,E,
,TAHAO,N,,P,
,TABACO,Y,4,P,
,RAWIS  A,N,,P,
,TAHAO,Y,4,P,
,RAWIS A,Y,7,P,
,TAHAO,Y,4,P,
,TABACO,Y,2,F,
7:45-8:00,MALABOG,Y,4,P,21
,LIGAO,N,,E,
,TAHAO,Y,8,E,
,TAHAO,N,,P,
,OAS,Y,4,P,
,CAMALIG,N, ,P,
,MALABOG,Y,3,P,
,TABACO,Y,1,F,
,STO DOMINGO,Y,2,P,
,TAHAO,N,,P,
,DIRETSO,N,,P,
,POLANGUI,Y,2,F,
,MALABOG,Y,1,P,
,TAHAO,Y,4,P,
,GUINOBATAN,Y,3,P,
,DIRETSO,N,,F,
,OAS,Y,4,E,
,TAHAO,Y,8,E,
,TAHAO,Y,7,P,
,TAHAO,Y,1,P,
,TAHAO,Y,4,E,
,TAHAO,Y,4,P,
,TAHAO,Y,7,P,
,,,,,
SM,,,,,
"August 14, 2026",,,,,
11:00 AM - 1:00 PM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
11:00 - 11:15,TAHAO,Y,5,P,22
,TAHAO,Y,4,P,
,DIRETSO,Y,3,P,
,RAWIS A,N,,P,
,TAHAO,Y,6,P,
,TAHAO,N,,E,
,MALABOG,Y,3,P,
,POLANGUI,Y,2,P,
,TAHAO,Y,5,E,
,DIRETSO,Y,3,P,
,RAWIS B,Y,2,P,
,TAHAO,Y,4,P,
,OAS,Y,1,P,
,TAHAO,Y,5,P,
,RAWIS A,Y,2,P,
,TAHAO,N,,F,
,GUINOBATAN,Y,2,P,
11:15 - 11:30,TAHAO,Y,8,E,31
,TAHAO,Y,7,E,
,DIRETSO,N,,P,
,TAHAO,Y,6,P,
,RAWIS A,Y,3,P,
,TAHAO,Y,9,E,
,MALABOG,Y,3,P,
,TAHAO,N,,F,
,LIGAO,Y,2,P,
,RAWIS B,Y,4,P,
,TAHAO,Y,7,E,
,POLANGUI,Y,3,P,
,TAHAO,Y,6,P,
,DIRETSO,Y,3,P,
,TABACO,Y,3,P,
,TAHAO,Y,5,P,
11:30 - 11:45,TAHAO,Y,11,E,40
,TAHAO,Y,10,E,
,RAWIS A,Y,4,P,
,TAHAO,N,,F,
,DIRETSO,N,,P,
,TAHAO,Y,9,E,
,OAS,Y,3,P,
,TAHAO,Y,8,E,
,MALABOG,Y,3,P,
,TAHAO,Y,7,P,
,POLANGUI,Y,3,P,
,RAWIS B,N,,P,
,TAHAO,Y,8,E,
,DIRETSO,Y,3,P,
,GUINOBATAN,Y,2,P,
11:45 - 12:00,TAHAO,Y,13,E,49
,TAHAO,Y,12,E,
,DIRETSO,Y,5,P,
,TAHAO,N,,F,
,RAWIS A,Y,4,P,
,TAHAO,Y,10,E,
,POLANGUI,Y,4,P,
,TAHAO,Y,11,E,
